"National Center for Education Statistics"
"Cumulative amount borrowed for undergrad by Carnegie code (2000) for NPSAS institution for years 1996, 2000, 2004, 2008, 2012 and 2016 "


"Cumulative amount borrowed for undergrad",,,,
,"low","medium","high","very high","Total"
"Estimates"
"Total"
"1996","65.0488","25.9288","8.2422","0.7803","100%",
"2000","57.2873","24.7572","13.7790","4.1765","100%",
"2004","57.6760","23.8293","14.4209","4.0739","100%",
"2008","51.8770","23.2934","17.3204","7.5093","100%",
"2012","46.5671","21.4459","19.1143","12.8727","100%",
"2016","47.1612","19.4205","18.5237","14.8946","100%",


"Carnegie code (2000) for NPSAS institution"
"Doctoral/research universities-extensive"
"1996","51.7280","30.7993","15.5778","1.8949","100%",
"2000","44.6463","25.8909","21.6155","7.8472","100%",
"2004","47.3718","25.2515","21.3163","6.0604","100%",
"2008","45.1205","22.7749","21.6659","10.4387","100%",
"2012","40.4401","20.4239","23.1488","15.9872","100%",
"2016","42.5118","18.9152","21.6804","16.8925","100%",
"Doctoral/research universities-intensive"
"1996","48.4550","34.3872","15.2118","1.9460","100%",
"2000","40.6081","29.5684","21.8254","7.9981","100%",
"2004","41.4751","27.7905","22.3486","8.3859","100%",
"2008","38.0523","22.7152","24.7477","14.4847","100%",
"2012","30.1193","22.0982","26.6050","21.1775","100%",
"2016","34.6959","17.1874","24.9829","23.1338","100%",
"Master's colleges and universities I"
"1996","51.7431","34.4339","12.6243","1.1987","100%",
"2000","42.0915","31.2214","20.7021","5.9850","100%",
"2004","42.1912","29.3204","22.5305","5.9579","100%",
"2008","37.6209","26.2441","24.5953","11.5397","100%",
"2012","35.8090","21.1501","23.8065","19.2345","100%",
"2016","33.6138","20.3080","23.9020","22.1762","100%",
"Master's colleges and universities II"
"1996","45.5956","33.5116","18.9772","1.9157 !","100%",
"2000","35.2719","30.2073","26.1848","8.3360","100%",
"2004","46.7690","26.5953","18.7683","7.8673","100%",
"2008","31.3230","25.6464","29.6142","13.4164","100%",
"2012","26.7660","23.8521","27.6466","21.7353","100%",
"2016","26.2960","19.1787","25.2732","29.2521","100%",
